Column1;Column2
Jêzyk;Kod jêzyka wed³ug ISO 639
Jêzyki indoeuropejskie;Jêzyki indoeuropejskie
jêzyki germañskie;jêzyki germañskie
szwedzki;sv, swe
norweski;no, nor (nb, nn, nob, nno)
duñski;da, dan
islandzki;is, isl
farerski;fo, fao
niemiecki;de, deu, ger
dolnoniemiecki;nds
niderlandzki;nl, nld
fryzyjski;fy, fri
luksemburski;lb, ltz
angielski;en, eng
jidysz;yi, yid
jêzyki s³owiañskie;jêzyki s³owiañskie
polski;pl, pol
kaszubski;csb
czeski;cs, ces, cze
s³owacki;sk, slo, slk
dolno³u¿ycki;dsb
górno³u¿ycki;hsb
rosyjski;ru, rus
bia³oruski;be, bel
ukraiñski;uk, ukr
serbski;sr, scc, srp
chorwacki;hr, hrv
s³oweñski;sl, slv
