Kolumna 1;Kolumna 2;Kolumna 3;Kolumna 4
Podzia³ pojazdów samochodowych;Podzia³ pojazdów samochodowych;Podzia³ pojazdów samochodowych;Podzia³ pojazdów samochodowych
Typ samochodu;Rodzaj samochodu;Przyk³ad;Zdjêcie
Samochody osobowe;Samochody sportowe;Arrinera Hussarya GT;
;Samochody miejskie;Fiat 500;
;Samochody luksusowe;Mercedes-Benz W222;
;Samochody SUV;Lexus RX;
;Samochody kempingowe;Adria Vision;
Samochody terenowe;;Honker;
Samochody dostawcze;;Iveco Daily;
Samochody ciê¿arowe;Ciê¿arowe samochody dostawcze;Star S2000;
;Ciê¿arowe samochody terenowe;Ural-4320;
;Ci¹gniki siod³owe;Scania R420;
;Ci¹gniki balastowe;Tatra T813 6x6;
Autobusy;;Solaris InterUrbino 12;
Samochody specjalne;Samochody opancerzone;Dzik (samochód);
;Po¿arowozy;E-ONE, Ford;
;¯urawie samochodowe;Hydros T-351 Stalowa Wola;
;Ambulanse;Fiat Ducato (AMZ-Kutno);
;Samochody asenizacyjne;Jelcz;
;Œmieciarki;MAN TGA 28.350;
;Zamiatarki;Zamiatarka na podwoziu MAZ;
;P³ugopiaskarki;P³ugopiaskarka na podwoziu samochodu Mitsubishi Fuso;
;Radiowozy;Ford Crown Victoria;
;Wywrotki;Jelcz 640;
;Betoniarki;;
Samochody mog¹ce poruszaæ siê tak¿e po torach kolejowych;Samochody mog¹ce poruszaæ siê tak¿e po torach kolejowych;Samochód ratownictwa technicznego Star;
