Kolumna 1;Kolumna 2;Kolumna 3;Kolumna 4
Podział pojazdów samochodowych;Podział pojazdów samochodowych;Podział pojazdów samochodowych;Podział pojazdów samochodowych
Typ samochodu;Rodzaj samochodu;Przykład;Zdjęcie
Samochody osobowe;Samochody sportowe;Arrinera Hussarya GT;
;Samochody miejskie;Fiat 500;
;Samochody luksusowe;Mercedes-Benz W222;
;Samochody SUV;Lexus RX;
;Samochody kempingowe;Adria Vision;
Samochody terenowe;;Honker;
Samochody dostawcze;;Iveco Daily;
Samochody ciężarowe;Ciężarowe samochody dostawcze;Star S2000;
;Ciężarowe samochody terenowe;Ural-4320;
;Ciągniki siodłowe;Scania R420;
;Ciągniki balastowe;Tatra T813 6x6;
Autobusy;;Solaris InterUrbino 12;
Samochody specjalne;Samochody opancerzone;Dzik (samochód);
;Pożarowozy;E-ONE, Ford; x
;Żurawie samochodowe;Hydros T-351 Stalowa Wola;
;Ambulanse;Fiat Ducato (AMZ-Kutno);
;Samochody asenizacyjne;Jelcz;
;Śmieciarki;MAN TGA 28.350;
;Zamiatarki;Zamiatarka na podwoziu MAZ;
;Pługopiaskarki;Pługopiaskarka na podwoziu samochodu Mitsubishi Fuso;
;Radiowozy;Ford Crown Victoria;
;Wywrotki;Jelcz 640;
;Betoniarki;;
Samochody mogące poruszać się także po torach kolejowych;Samochody mogące poruszać się także po torach kolejowych;Samochód ratownictwa technicznego Star;
